Ingredient,Description,Category,Substitutes
bluefish,,"Other Fatty, Flaky-textured Fish","[{'Substitute': '1 pound butterfish', 'Equivalent': '= 1 pound bluefish', 'Note': 'milder flavor', 'Nutritional value': {'Carbs': '0 g', 'Calories': '146 Cals.', 'Salt': '89 mg', 'Fat': '8 g', 'Cholesterol': '65 mg', 'Vitamin C': '0 mg', 'Calcium': '22 mg', 'Protein': '17.3 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '3.4 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '3.4 g'}}, {'Substitute': '1 pound whitefish', 'Equivalent': '= 1 pound bluefish', 'Note': 'milder flavor', 'Nutritional value': {'Carbs': '0 g', 'Calories': '134 Cals.', 'Salt': '51 mg', 'Fat': '5.9 g', 'Cholesterol': '60 mg', 'Vitamin C': '0 mg', 'Calcium': '26 mg', 'Protein': '19.1 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '2 g', 'Poly Fats': '2.1 g', 'Saturated Fats': '0.9 g'}}, {'Substitute': '1 pound mackerel', 'Equivalent': '= 1 pound bluefish', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '189 Cals.', 'Salt': '89 mg', 'Fat': '11.9 g', 'Cholesterol': '62 mg', 'Vitamin C': '0.9 mg', 'Calcium': '16 mg', 'Protein': '19.1 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '4.5 g', 'Poly Fats': '2.9 g', 'Saturated Fats': '2.9 g'}}, {'Substitute': '1 pound striped bass', 'Equivalent': '= 1 pound bluefish', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '97 Cals.', 'Salt': '69 mg', 'Fat': '2.3 g', 'Cholesterol': '80 mg', 'Vitamin C': '0 mg', 'Calcium': '15 mg', 'Protein': '17.7 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.7 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '0.5 g'}}]"
blush Wine,"""Blush"" is displacing ""rosé"" as the name given to pink wines, though some people use the name rosé to describe darker pink wines.  Whatever name you give them, they're usually made from red grapes that are only allowed to ferment a few days--too short a time for the grape skins to impart a deeper color to the wine.  The result is a pink, fruity wine that's best served chilled and goes best with poultry, seafood, and spicy dishes.   These wines are quite popular, but wine snobs think they're boring.  Don't cook with these wines--they aren't flavorful enough.",Blush wine,"[{'Substitute': '1 bottle Gewürztraminer', 'Equivalent': '= 1 bottle blush Wine', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 bottle Beaujolais', 'Equivalent': '= 1 bottle blush Wine', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 bottle white wine', 'Equivalent': '= 1 bottle blush Wine', 'Note': '', 'Nutritional value': {'Carbs': '2.6 g', 'Calories': '82 Cals.', 'Salt': '5 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '9 mg', 'Protein': '0.1 g', 'Sugars': '1 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
blutwurst,"This is a spicy and salty German blood sausage made from pork, beef, and beef blood.  Germans like to snack on it, or mix it with sauerkraut.  It comes already cooked, but it's usually heated before being served.",Sausages,"[{'Substitute': '1 pound blood sausage', 'Equivalent': '= 1 pound blutwurst', 'Note': '', 'Nutritional value': {'Carbs': '1.3 g', 'Calories': '379 Cals.', 'Salt': '680 mg', 'Fat': '34.5 g', 'Cholesterol': '120 mg', 'Vitamin C': '0 mg', 'Calcium': '6 mg', 'Protein': '14.6 g', 'Sugars': '1.3 g', 'Fiber': '0 g', 'Mono Fats': '15.9 g', 'Poly Fats': '3.5 g', 'Saturated Fats': '13.4 g'}}]"
boar,"Boar meat is similar to pork, only leaner, redder, and stronger-tasting. Make sure you cook it thoroughly--it's possible to contract trichinosis from undercooked boar meat.",Game,"[{'Substitute': '1 pound Pork', 'Equivalent': '= 1 pound boar', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '748 Cals.', 'Salt': '2684 mg', 'Fat': '80.5 g', 'Cholesterol': '86 mg', 'Vitamin C': '0 mg', 'Calcium': '6 mg', 'Protein': '5.1 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '37.9 g', 'Poly Fats': '9.4 g', 'Saturated Fats': '29.4 g'}}]"
bock beer,"This is a sweet, strong-tasting lager beer that's heavy on the malt and light on the hops.  It's not as bitter as most beers.",Beer,"[{'Substitute': '1 bottle brown ale', 'Equivalent': '= 1 bottle bock beer', 'Note': '', 'Nutritional value': {'Carbs': '7.5 g', 'Calories': '29 Cals.', 'Salt': '10 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '7.5 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
bockwurst,"This is a mild German sausage made with veal, pork, milk, and eggs, and seasoned with chives and parsley.  You need to cook it before serving.  Use it soon after you buy it--it's very perishable.",Sausages,"[{'Substitute': '1 pound banger', 'Equivalent': '= 1 pound bockwurst', 'Note': '', 'Nutritional value': {'Carbs': '2.4 g', 'Calories': '306 Cals.', 'Salt': '918 mg', 'Fat': '27.1 g', 'Cholesterol': '53 mg', 'Vitamin C': '0 mg', 'Calcium': '24 mg', 'Protein': '12.9 g', 'Sugars': '1.2 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '9.4 g'}}, {'Substitute': '1 pound bratwurst', 'Equivalent': '= 1 pound bockwurst', 'Note': '', 'Nutritional value': {'Carbs': '2.9 g', 'Calories': '333 Cals.', 'Salt': '846 mg', 'Fat': '29.2 g', 'Cholesterol': '74 mg', 'Vitamin C': '0 mg', 'Calcium': '28 mg', 'Protein': '13.7 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '14.7 g', 'Poly Fats': '2.6 g', 'Saturated Fats': '10 g'}}, {'Substitute': '1 pound hot dog', 'Equivalent': '= 1 pound bockwurst', 'Note': '', 'Nutritional value': {'Carbs': '3.1 g', 'Calories': '332 Cals.', 'Salt': '865 mg', 'Fat': '29.6 g', 'Cholesterol': '61 mg', 'Vitamin C': '0 mg', 'Calcium': '15 mg', 'Protein': '12.3 g', 'Sugars': '1.2 g', 'Fiber': '0 g', 'Mono Fats': '14.3 g', 'Poly Fats': '1.2 g', 'Saturated Fats': '12.1 g'}}, {'Substitute': '1 pound weisswurst', 'Equivalent': '= 1 pound bockwurst', 'Note': '', 'Nutritional value': {'Carbs': '1.8 g', 'Calories': '314 Cals.', 'Salt': '646 mg', 'Fat': '29.2 g', 'Cholesterol': '62 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '10.6 g', 'Sugars': '0.9 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '9.7 g'}}]"
boerewors,"This is a spicy South African farmer's sausage, made with beef, pork, and pork fat, and seasoned with coriander.  You need to cook it before serving.",Sausages,"[{'Substitute': '1 pound bratwurst', 'Equivalent': '= 1 pound boerewors', 'Note': '', 'Nutritional value': {'Carbs': '2.9 g', 'Calories': '333 Cals.', 'Salt': '846 mg', 'Fat': '29.2 g', 'Cholesterol': '74 mg', 'Vitamin C': '0 mg', 'Calcium': '28 mg', 'Protein': '13.7 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '14.7 g', 'Poly Fats': '2.6 g', 'Saturated Fats': '10 g'}}]"
boiling onion,"These are small versions of yellow, white, or red onions.  They're up to two inches in diameter, and usually cooked whole.",Dry Onions and Shallots,"[{'Substitute': '1 pound pearl onion', 'Equivalent': '= 1 pound boiling onion', 'Note': 'smaller', 'Nutritional value': {'Carbs': '9.3 g', 'Calories': '40 Cals.', 'Salt': '4 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '7.4 mg', 'Calcium': '23 mg', 'Protein': '1.1 g', 'Sugars': '4.2 g', 'Fiber': '1.7 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound cipollini onion', 'Equivalent': '= 1 pound boiling onion', 'Note': '', 'Nutritional value': {'Carbs': '7.3 g', 'Calories': '32 Cals.', 'Salt': '16 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '18.8 mg', 'Calcium': '72 mg', 'Protein': '1.8 g', 'Sugars': '2.3 g', 'Fiber': '2.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}]"
boiling potato,"Potatoes in this category hold their shape after cooking, so they're great for making potato salads and scalloped potatoes. They're not good for mashing, baking, or making fries. Types of boiling potatoes are new potatoes, fingerling potatoes, round white potatoes, and round red potatoes.",Potatoes,[]
bok choy,"Bok choy has crunchy stems and crinkled, spinach-like leaves. It's usually stir-fried with other ingredients, but it can also be steamed or sautéed and served as a side dish. Small heads of bok choy are called baby bok choy (left), and they're more tender than the larger variety. Of the baby bok choys, bok choy sum = Canton bok choy has small yellow flowers (sum is the Chinese word for flower), while Shanghai bok choy is a uniform light green, doesn't have flowers, and isn't as sweet.",Cooking Greens,"[{'Substitute': '1 pound Chinese broccoli', 'Equivalent': '= 1 pound bok choy', 'Note': '', 'Nutritional value': {'Carbs': '4.7 g', 'Calories': '26 Cals.', 'Salt': '7 mg', 'Fat': '0.8 g', 'Cholesterol': '0 mg', 'Vitamin C': '29.6 mg', 'Calcium': '105 mg', 'Protein': '1.2 g', 'Sugars': '0.9 g', 'Fiber': '2.6 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.3 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound yau choy', 'Equivalent': '= 1 pound bok choy', 'Note': '', 'Nutritional value': {'Carbs': '2.2 g', 'Calories': '13 Cals.', 'Salt': '65 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '45 mg', 'Calcium': '105 mg', 'Protein': '1.5 g', 'Sugars': '1.2 g', 'Fiber': '1 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound napa cabbage stir-fry', 'Equivalent': '= 1 pound bok choy', 'Note': ""for stir-frying only; don't boil"", 'Nutritional value': {'Carbs': '2.2 g', 'Calories': '13 Cals.', 'Salt': '65 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '45 mg', 'Calcium': '105 mg', 'Protein': '1.5 g', 'Sugars': '1.2 g', 'Fiber': '1 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound broccoli', 'Equivalent': '= 1 pound bok choy', 'Note': '', 'Nutritional value': {'Carbs': '6.6 g', 'Calories': '34 Cals.', 'Salt': '33 mg', 'Fat': '0.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '89.2 mg', 'Calcium': '47 mg', 'Protein': '2.8 g', 'Sugars': '1.7 g', 'Fiber': '2.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound Swiss chard', 'Equivalent': '= 1 pound bok choy', 'Note': '', 'Nutritional value': {'Carbs': '3.7 g', 'Calories': '19 Cals.', 'Salt': '213 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '30 mg', 'Calcium': '51 mg', 'Protein': '1.8 g', 'Sugars': '1.1 g', 'Fiber': '1.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound celery stir-fry', 'Equivalent': '= 1 pound bok choy', 'Note': 'especially in stir-fry dishes', 'Nutritional value': {'Carbs': '3 g', 'Calories': '16 Cals.', 'Salt': '80 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '3.1 mg', 'Calcium': '40 mg', 'Protein': '0.7 g', 'Sugars': '1.3 g', 'Fiber': '1.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound collard greens', 'Equivalent': '= 1 pound bok choy', 'Note': '', 'Nutritional value': {'Carbs': '5.4 g', 'Calories': '32 Cals.', 'Salt': '17 mg', 'Fat': '0.6 g', 'Cholesterol': '0 mg', 'Vitamin C': '35.3 mg', 'Calcium': '232 mg', 'Protein': '3 g', 'Sugars': '0.5 g', 'Fiber': '4 g', 'Mono Fats': '0 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound beet greens', 'Equivalent': '= 1 pound bok choy', 'Note': 'cooks more quickly', 'Nutritional value': {'Carbs': '4.3 g', 'Calories': '22 Cals.', 'Salt': '226 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '30 mg', 'Calcium': '117 mg', 'Protein': '2.2 g', 'Sugars': '0.5 g', 'Fiber': '3.7 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound cabbage', 'Equivalent': '= 1 pound bok choy', 'Note': '', 'Nutritional value': {'Carbs': '5.8 g', 'Calories': '25 Cals.', 'Salt': '18 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '36.6 mg', 'Calcium': '40 mg', 'Protein': '1.3 g', 'Sugars': '3.2 g', 'Fiber': '2.5 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
boldo leaves,"These small leaves have a strong woodsy aroma.  They're hard to find, but Hispanic markets sometimes carry dried leaves in cellophane bags.",Hispanic Herbs,"[{'Substitute': '1 each Indian bay leaf', 'Equivalent': '= 1 each boldo leaves', 'Note': 'hard to find', 'Nutritional value': {'Carbs': '75 g', 'Calories': '313 Cals.', 'Salt': '23 mg', 'Fat': '8.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '46.5 mg', 'Calcium': '834 mg', 'Protein': '7.6 g', 'Sugars': '0 g', 'Fiber': '26.3 g', 'Mono Fats': '1.6 g', 'Poly Fats': '2.3 g', 'Saturated Fats': '2.3 g'}}, {'Substitute': '1 each bay leaf', 'Equivalent': '= 1 each boldo leaves', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
bolillo,These are crusty Mexican sandwich rolls.,Breads,"[{'Substitute': '1 pound French bread', 'Equivalent': '= 1 pound bolillo', 'Note': '', 'Nutritional value': {'Carbs': '51.9 g', 'Calories': '272 Cals.', 'Salt': '602 mg', 'Fat': '2.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '52 mg', 'Protein': '10.8 g', 'Sugars': '4.6 g', 'Fiber': '2.2 g', 'Mono Fats': '0.4 g', 'Poly Fats': '0.9 g', 'Saturated Fats': '0.5 g'}}, {'Substitute': '1 pound tortilla', 'Equivalent': '= 1 pound bolillo', 'Note': '', 'Nutritional value': {'Carbs': '44.6 g', 'Calories': '218 Cals.', 'Salt': '45 mg', 'Fat': '2.8 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '81 mg', 'Protein': '5.7 g', 'Sugars': '0.9 g', 'Fiber': '6.3 g', 'Mono Fats': '0.7 g', 'Poly Fats': '1.4 g', 'Saturated Fats': '0.5 g'}}]"
bolita bean,,Dry Beans,"[{'Substitute': '1 pound pinto bean', 'Equivalent': '= 1 pound bolita bean', 'Note': '', 'Nutritional value': {'Carbs': '11.6 g', 'Calories': '62 Cals.', 'Salt': '153 mg', 'Fat': '0.9 g', 'Cholesterol': '0 mg', 'Vitamin C': '21.7 mg', 'Calcium': '43 mg', 'Protein': '5.3 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.5 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound anasazi beans', 'Equivalent': '= 1 pound bolita bean', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
bolo de milho,This is a Brazilian corn cake.,Flatbreads,"[{'Substitute': '1 pound corn tortilla', 'Equivalent': '= 1 pound bolo de milho', 'Note': '', 'Nutritional value': {'Carbs': '44.6 g', 'Calories': '218 Cals.', 'Salt': '45 mg', 'Fat': '2.8 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '81 mg', 'Protein': '5.7 g', 'Sugars': '0.9 g', 'Fiber': '6.3 g', 'Mono Fats': '0.7 g', 'Poly Fats': '1.4 g', 'Saturated Fats': '0.5 g'}}]"
bologna,"This soft, mild sausage is a sandwich staple.  It's made from beef and/or pork and usually smoked.  It's usually sold sliced and ready-to-eat.",Cold Cuts,"[{'Substitute': '1 pound mortadella', 'Equivalent': '= 1 pound bologna', 'Note': '', 'Nutritional value': {'Carbs': '3 g', 'Calories': '311 Cals.', 'Salt': '1246 mg', 'Fat': '25.4 g', 'Cholesterol': '56 mg', 'Vitamin C': '0 mg', 'Calcium': '18 mg', 'Protein': '16.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '11.4 g', 'Poly Fats': '3.1 g', 'Saturated Fats': '9.5 g'}}]"
bomba rice,"Bomba is a type of rice prized for its starchy center, which can absorb three times its volume of cooking liquid. It is often used in paella. It retains distinct short grains after cooking.",Rice,"[{'Substitute': '1 cup arborio rice', 'Equivalent': '= 1 cup bomba rice', 'Note': '', 'Nutritional value': {'Carbs': '80 g', 'Calories': '356 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '6.7 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 cup Calasparra rice', 'Equivalent': '= 1 cup bomba rice', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup jasmine rice', 'Equivalent': '= 1 cup bomba rice', 'Note': '', 'Nutritional value': {'Carbs': '80 g', 'Calories': '356 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '6.7 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
Bombay duck,This is a ten inch fish is native to coastal India. It is eaten fresh or salted and dried. It can have a very powerful smell.,Smoked & Dried Fish,"[{'Substitute': '1 pound smoked whitefish', 'Equivalent': '= 1 pound Bombay duck', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '117 Cals.', 'Salt': '672 mg', 'Fat': '4.3 g', 'Cholesterol': '23 mg', 'Vitamin C': '0 mg', 'Calcium': '11 mg', 'Protein': '18.3 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '2 g', 'Poly Fats': '1 g', 'Saturated Fats': '0.9 g'}}, {'Substitute': '1 pound bonito dried', 'Equivalent': '= 1 pound Bombay duck', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
Bon Appetit seasoning,,European Herb & Spice Mixes,"[{'Substitute': '1 tablespoon celery salt', 'Equivalent': '= 1 tablespoon Bon Appetit seasoning', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '32857 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 tablespoon Beau Monde seasoning', 'Equivalent': '= 1 tablespoon Bon Appetit seasoning', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
Boniato,"Boniatos aren't as sweet and moist as other sweet potatoes, but many people prefer their fluffier consistency and more delicate flavor.  Store them at room temperature and use them soon after your purchase them, since they tend to spoil quickly.",Sweet Potatoes & Yams,"[{'Substitute': '1 pound sweet potato', 'Equivalent': '= 1 pound Boniato', 'Note': 'This is sweeter and moister than a boniato.', 'Nutritional value': {'Carbs': '20.1 g', 'Calories': '86 Cals.', 'Salt': '55 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '2.4 mg', 'Calcium': '30 mg', 'Protein': '1.6 g', 'Sugars': '4.2 g', 'Fiber': '3 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound yam', 'Equivalent': '= 1 pound Boniato', 'Note': 'moister', 'Nutritional value': {'Carbs': '27.9 g', 'Calories': '118 Cals.', 'Salt': '9 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '17.1 mg', 'Calcium': '17 mg', 'Protein': '1.5 g', 'Sugars': '0.5 g', 'Fiber': '4.1 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound russet potato', 'Equivalent': '= 1 pound Boniato', 'Note': '', 'Nutritional value': {'Carbs': '18.1 g', 'Calories': '79 Cals.', 'Salt': '5 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '5.7 mg', 'Calcium': '13 mg', 'Protein': '2.1 g', 'Sugars': '0.6 g', 'Fiber': '1.3 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
bonita,,Tuna,"[{'Substitute': '1 pound albacore', 'Equivalent': '= 1 pound bonita', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '204 Cals.', 'Salt': '212 mg', 'Fat': '10.6 g', 'Cholesterol': '40 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '27.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '2.7 g'}}, {'Substitute': '1 pound yellowfin tuna', 'Equivalent': '= 1 pound bonita', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '109 Cals.', 'Salt': '45 mg', 'Fat': '0.5 g', 'Cholesterol': '39 mg', 'Vitamin C': '0 mg', 'Calcium': '4 mg', 'Protein': '24.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.2 g'}}, {'Substitute': '1 pound swordfish', 'Equivalent': '= 1 pound bonita', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '144 Cals.', 'Salt': '81 mg', 'Fat': '6.7 g', 'Cholesterol': '66 mg', 'Vitamin C': '0 mg', 'Calcium': '5 mg', 'Protein': '19.7 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '3 g', 'Poly Fats': '1.1 g', 'Saturated Fats': '1.6 g'}}, {'Substitute': '1 pound shark', 'Equivalent': '= 1 pound bonita', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '130 Cals.', 'Salt': '79 mg', 'Fat': '4.5 g', 'Cholesterol': '51 mg', 'Vitamin C': '0 mg', 'Calcium': '34 mg', 'Protein': '21 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '1.8 g', 'Poly Fats': '1.2 g', 'Saturated Fats': '0.9 g'}}]"
